,class,image_path,name,xmax,xmin,ymax,ymin
0,8,953ab1447c46ecfef67ab14629cd70c7.jpg,SAND_ON_ROAD,192,192,192,192
1,4,e4ddbaa7970fca225a51288ce5f7d3f9.jpg,CONSTRUCTION_ROAD,192,192,192,192
2,3,5b8120d69607a077b7583334be3ba18b.jpg,GARBAGE,192,192,192,192
3,3,138b1dc82005b4c33e4886260649d313.jpg,GARBAGE,192,192,192,192
4,4,0f91ec1533b845b13089f8cf4e0a36f7.jpg,CONSTRUCTION_ROAD,192,192,192,192
5,3,dfd51a42c03dc458daf2fbe071efee9d.jpg,GARBAGE,192,192,192,192
6,3,ab0e2122d7786186da2e1c4a3d3d6fb4.jpg,GARBAGE,192,192,192,192
7,9,51e45a98c72f86c44bc6340c6ca6a8e7.jpg,CLUTTER_SIDEWALK,192,192,192,192
8,2,443a50c860568eb0e6188525400f1736.jpg,POTHOLES,192,192,192,192
9,7,ea57cc594dba39b5b25617a7f6ae87d5.jpg,BAD_BILLBOARD,192,192,192,192
10,2,1697d2971efa752abd823083978cb3b1.jpg,POTHOLES,192,192,192,192
11,3,3dea470248e8637636a0f89697b41236.jpg,GARBAGE,192,192,192,192
12,3,54bd134d15e7b274e3811b61257c12b9.jpg,GARBAGE,192,192,192,192
13,3,1745703a49f8870571667504fa93f585.jpg,GARBAGE,192,192,192,192
14,3,9f7b4611104b81e0c3e4f7e12dabe7ad.jpg,GARBAGE,192,192,192,192
15,3,0bd97eb285fcedd86932513f674b162b.jpg,GARBAGE,192,192,192,192
16,9,4ed7f2cda06447613cb700c6e34790c0.jpg,CLUTTER_SIDEWALK,192,192,192,192
17,3,006e04a34f54d116f6aff2bb31cb320c.jpg,GARBAGE,192,192,192,192
18,0,bdd6271e66ffd4f998f152223540aeec.jpg,GRAFFITI,192,192,192,192
19,3,6e6b430912712af2a70f9bcce8c10dc2.jpg,GARBAGE,192,192,192,192
20,9,cbabdf39160d2b7e8404881e3333374d.jpg,CLUTTER_SIDEWALK,192,192,192,192
21,2,ba91a0c500ebdcceefc38483c99f67a1.jpg,POTHOLES,192,192,192,192
22,3,560cb929617b99c6c348485e8b4b72e9.jpg,GARBAGE,192,192,192,192
23,3,7d9c1bcb917c1302ffa853cd62e887f3.jpg,GARBAGE,192,192,192,192
24,0,89d36b3b14683cc547c658dd99c4d54f.jpg,GRAFFITI,192,192,192,192
25,3,54e48ca9bc3dd622ff37a67b601cacf6.jpg,GARBAGE,192,192,192,192
26,3,11218184acaf2261a534075f1021042a.jpg,GARBAGE,192,192,192,192
27,3,f5e5817a4995232f16c36c7e7418fbf2.jpg,GARBAGE,192,192,192,192
28,3,4c1561b93fef37c5a2eb600ddf7a6c61.jpg,GARBAGE,192,192,192,192
29,3,4f414b816a87f471d7bc19ef0703a310.jpg,GARBAGE,192,192,192,192
30,2,54b2d34de7eb4a2521e411af9127a322.jpg,POTHOLES,192,192,192,192
31,3,77ac493700369accc28d39be5b31f153.jpg,GARBAGE,192,192,192,192
32,0,e417727e8dfd3d0b0e049833ad3ee669.jpg,GRAFFITI,192,192,192,192
33,7,dd1b771e20965f1743af4a6ce0b1fd0a.jpg,BAD_BILLBOARD,192,192,192,192
34,3,99fce2201a1513c3824d8a3608026f9b.jpg,GARBAGE,192,192,192,192
35,3,d99df1a817fb1a173a4698745836c4fc.jpg,GARBAGE,192,192,192,192
36,3,ddbf796e79a7fd1471d209fa183009d4.jpg,GARBAGE,192,192,192,192
37,3,84381c4b0cddef812d9ddccf69caa6ca.jpg,GARBAGE,192,192,192,192
38,2,179ad005c5cec2a44b6eaf2a4dac3c39.jpg,POTHOLES,192,192,192,192
39,7,1580f03eea1771822e5b8ec72a187040.jpg,BAD_BILLBOARD,192,192,192,192
40,4,eb04074ed3f9f93b1ceabff44640bdcb.jpg,CONSTRUCTION_ROAD,192,192,192,192
41,7,2e2300be77fb56a90d61add02e2a862d.jpg,BAD_BILLBOARD,192,192,192,192
42,4,208db219ca547490d795b94e7ff028e1.jpg,CONSTRUCTION_ROAD,192,192,192,192
43,3,de716ddbdf950a1712bda5198fa672ac.jpg,GARBAGE,192,192,192,192
44,3,8a330d1b513b3509553a1e6f159f8ea3.jpg,GARBAGE,192,192,192,192
45,3,e09f8936d5b62c2c4cf234bc2e9395f4.jpg,GARBAGE,192,192,192,192
46,3,4e10617e7f35cc8a3cb79361f1ba9e33.jpg,GARBAGE,192,192,192,192
47,4,321fc3bfa2f991ffbb8cedb947c63dab.jpg,CONSTRUCTION_ROAD,192,192,192,192
48,2,8aa9b7f07715e15490f5466c6d36e53b.jpg,POTHOLES,192,192,192,192
49,2,c03ec9bf5e8e9c90269c6fbb35149b55.jpg,POTHOLES,192,192,192,192
50,3,3c4712c2a73de54efa3124babc48acf6.jpg,GARBAGE,192,192,192,192
51,3,93bde74fdd41477b566d6d7ddea62619.jpg,GARBAGE,192,192,192,192
52,3,055f975c73af31b07d8a86bb7a64fd84.jpg,GARBAGE,192,192,192,192
